Track ID,Track Name,Artists,Album Name,Release Date,Explicit,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms
0xmU3WHi3XZQ33T0jSneNQ,All Star,Xenon,Tontas Cosas Que Decirte (Original Soundtrack),2022-11-24,False,11,0.0375,0.685,0.832,0.0,0.263,-6.516,0.125,145.973,0.799,161828
3zp8YVbsY9nPRV3AuTuSsi,Lluvia y Viento,"Xenon, Alba del Vals",Tontas Cosas Que Decirte (Original Soundtrack),2022-11-24,False,12,0.262,0.588,0.692,1.53e-06,0.126,-5.348,0.0968,180.04,0.418,186697
4K09vJ27xCOreumtSuU6Ao,Silk Sonic Intro,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,2021-11-12,False,63,0.097,0.696,0.553,3.91e-06,0.617,-8.702,0.0759,114.993,0.674,63060
4pryE6cN2gFL1FVF5fYINl,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,2021-11-12,False,72,0.182,0.586,0.616,0.0,0.0927,-7.964,0.0324,148.088,0.719,242096
7suB6D6uKX5DfPukdGaz0W,Fly As Me,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,2021-11-12,False,62,0.00756,0.783,0.627,0.0,0.0606,-8.521,0.102,100.025,0.48,219389
4mMHQiLV0V2rYrquSBssRm,A Cualquiera Le Puede Pasar,Juan Antonio,A Cualquiera Le Puede Pasar,2023-09-13,False,1,0.0158,0.691,0.78,0.0,0.0672,-5.321,0.0348,87.973,0.785,169000
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,Endless Summer Vacation,2023-08-18,False,93,0.0584,0.706,0.691,6.99e-05,0.0232,-4.775,0.0633,118.048,0.632,200600
0LbZLBBZI1NfaDgb4dx0UD,Jaded,Miley Cyrus,Endless Summer Vacation,2023-08-18,True,78,0.0476,0.496,0.593,0.0,0.0909,-5.154,0.0285,91.038,0.177,185933
1nSfvLVhsozMHS7rCF1BTi,Rose Colored Lenses,Miley Cyrus,Endless Summer Vacation,2023-08-18,False,68,0.0574,0.539,0.503,2.34e-05,0.0847,-5.338,0.0385,174.068,0.836,223787
20uXZyneJq8QjX8dPVI4ut,Intro,Zion & Lennox,El Sistema,2021-07-22,False,22,0.0257,0.858,0.751,0.0439,0.0907,-5.254,0.218,92.045,0.169,102680
17hUeO3yozyGyXFzpEIX6D,Estrella,Zion & Lennox,El Sistema,2021-07-22,False,44,0.0293,0.777,0.766,0.0,0.136,-3.546,0.064,89.993,0.75,214626
2Pz9DnS04JtX70gERPeorz,Entendemos,"Zion & Lennox, Sech",El Sistema,2021-07-22,False,36,0.16,0.768,0.734,0.0,0.104,-3.589,0.0876,158.026,0.806,213926
7rSunISCOmFkcZ4pw77dDP,Start The Party (Vive Nuestra Fiesta),Ismael,Camp Rock Original Soundtrack,2008-01-01,False,2,0.00811,0.782,0.935,0.0,0.0668,-5.052,0.0943,115.989,0.626,182360
4sAoD04nRazvYgOzGrAORf,Dale Un Respiro Al Amor,Ismael,Camp Rock Original Soundtrack,2008-01-01,False,3,0.0781,0.852,0.826,0.0,0.913,-5.216,0.0594,119.937,0.925,174373
7IAHiyDo4UaTQyR6JCxJP3,We Rock,Cast Of Camp Rock,Camp Rock Original Soundtrack,2008-01-01,False,19,0.00644,0.636,0.947,0.0,0.0938,-3.422,0.104,143.901,0.828,192147
7oI6UCSrFERRlBBSKII7mo,Welcome to Walkerworld,Alan Walker,Walkerworld,2023-11-10,False,38,0.0455,0.529,0.811,0.216,0.106,-6.734,0.0355,127.991,0.123,166650
5jiDsY3XhlJ7TsByrQ4npm,Heart over Mind,"Alan Walker, Daya",Walkerworld,2023-11-10,False,38,0.000456,0.632,0.739,5.99e-06,0.181,-3.442,0.0276,117.013,0.367,189392
