Track Name,Track ID,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
Danger Zone,4XGl23ZBBQQ7KD9uSpvswx,0.553,0.887,-6.463,0.0387,0.0697,0.0,0.186,0.687,156.767,215573
Darkstar,5jximgvZO7gGAFQndsSltj,0.448,0.381,-18.062,0.0346,0.666,0.756,0.0781,0.14,145.031,181053
One Of The Boys,6uIODsxIHybW8ngRUAACb6,0.565,0.912,-2.34,0.0525,0.00215,1.67e-06,0.0807,0.686,145.951,247653
I Kissed A Girl,1uQDjeqWqHd3LwkYZ2vKvP,0.68,0.787,-3.195,0.104,0.00238,0.0,0.0888,0.686,129.998,179640
Waking Up In Vegas,0WDYdvKkDrwnVuxtNJtLHE,0.532,0.867,-3.146,0.0336,0.00129,0.0,0.119,0.654,130.971,199187
El mundo bajo mis pies,1PkrJceNgWCtvse0OhDbdQ,0.656,0.643,-7.377,0.453,0.298,0.0,0.185,0.282,85.018,213818
Death row,2IqiRRVaTzv6YDNnqFdVpu,0.639,0.388,-9.241,0.0369,0.116,0.0,0.129,0.286,123.822,191614
Cryptolais,18E50KJhUMXcsoRLBgy6BQ,0.87,0.783,-6.221,0.255,0.0961,0.0,0.531,0.752,115.975,188418
Me Enamora,14Y6K8JKPglmbPp3QwrX5i,0.74,0.673,-2.872,0.102,0.232,4.45e-06,0.12,0.698,180.026,198592
Imagínate (feat. Nicky Jam),1V0QAjYD9LkDTUlHAtPDFb,0.741,0.784,-4.534,0.088,0.386,0.0,0.25,0.697,94.007,187840
Kush,5WqETTgZEuQF1PHKELc7HR,0.724,0.537,-6.94,0.292,0.375,6.8e-06,0.0693,0.45,73.976,214054
Avisa,16nItJy3LUeqGSboABfWWY,0.619,0.649,-6.334,0.0447,0.194,0.0,0.152,0.743,180.122,187159
Miracle,7BFj9LKuwSTiBn5k73Sur3,0.644,0.838,-5.076,0.194,0.0389,0.0,0.144,0.889,179.956,141148
Montana Sky,2jpVAeVwDtvOwdyUYH3NxN,0.752,0.839,-5.026,0.0746,0.0363,0.0,0.102,0.777,131.011,169062
Wings,7DVcgqaCDXtwZIjRTPb8bm,0.7,0.728,-5.419,0.0418,0.129,0.0,0.12,0.3,121.06,118994
Anti-Hero,0P6iIXYsjLeTGdZ9EtfgY9,0.666,0.595,-9.528,0.235,0.117,0.0,0.346,0.237,104.991,133000
Back Again (Interlude),25NFTtKpxxczJSBRiJM4zZ,0.351,0.222,-12.049,0.0308,0.972,2.48e-06,0.109,0.115,61.735,48960
Knock it Off,64JAXQIODz2YzT8OhoWmVo,0.779,0.613,-6.879,0.172,0.132,0.0,0.344,0.714,85.002,229573
Middle of the Night,4sBgw2lx43ouOGdcmmB4Jz,0.669,0.423,-8.889,0.0846,0.0132,0.0,0.0976,0.36,91.818,198747
BACK FOR MORE,0TdKvw86k95MpKXD6pamFN,0.605,0.806,-7.188,0.0372,0.0596,0.454,0.0934,0.269,132.068,175938
No Pole,0eaVIYo2zeOaGJeqZ5TwYz,0.328,0.631,-5.169,0.0465,0.0714,0.0,0.567,0.382,85.262,187613
Embarrassed (feat. Travis Scott),6w9GrSUaQQIaMBYtabge7p,0.861,0.496,-5.537,0.0357,0.382,2.57e-06,0.107,0.543,116.008,192693
Geronimo,1g4DPOlfsDTIzq9fTU2SFE,0.741,0.563,-6.721,0.049,0.488,0.0,0.191,0.448,125.026,123000
Working,19CTf8Ej9FbtTmZKhrsUJV,0.683,0.651,-12.948,0.431,0.627,0.0,0.0954,0.204,150.048,137600
Tengo Polola Nueva,7pBbeil4JpApPYxavgRpWJ,0.797,0.645,-10.56,0.184,0.154,7.32e-05,0.0714,0.693,100.025,148800
NOPALATELE,5TF6x1UsQnX3Tv3wd5Fw78,0.787,0.711,-11.102,0.1,0.25,0.0,0.377,0.813,94.985,257683
En libertad,6aDKDILq51oYRJb0jTKMPZ,0.656,0.588,-8.798,0.0449,0.599,0.0128,0.0836,0.466,130.014,232615
