id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
12BAxMbHzksw2xiq05gKtT,0.715,0.579,7,-8.399,0,0.0368,0.301,0.0665,0.188,0.444,131.925,161853
6inSd4dgpqoeXdPzP3B6ac,0.794,0.666,11,-5.821,1,0.085,0.362,0.0,0.299,0.669,139.951,130715
3uvI3MwIB42qk0QEGtQpgT,0.806,0.784,5,-3.402,0,0.0375,0.148,5.37e-06,0.0696,0.654,100.005,175591
3ZIEG7syiY1lRmxwGm0xRH,0.668,0.857,1,-4.485,1,0.0994,0.0202,0.0,0.047,0.718,93.01,206539
2hh1LMjwk5ooxu8ARhQq4F,0.591,0.91,1,-4.219,0,0.0621,0.00361,5.64e-05,0.0843,0.393,130.031,212387
5LYMamLv12UPbemOaTPyeV,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041,193813
1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955
19doCLyihUxqUvjtsR6xHm,0.71,0.634,7,-7.283,1,0.0668,0.495,0.0,0.195,0.229,120.037,164878
1oTkt2SICK4tsPD0b39Snn,0.827,0.843,0,-3.961,1,0.0892,0.0516,0.00209,0.267,0.709,91.001,195165
3pRgnUZfmYK0XXCrgoik10,0.776,0.716,6,-4.807,0,0.153,0.206,0.0,0.156,0.519,139.914,195439
78TdaRmo17p8J6BPvA8cGt,0.495,0.521,1,-9.72,1,0.0766,0.0317,0.0,0.288,0.238,111.426,114053
7CLja1KXFDtegtO0NCewNm,0.722,0.54,0,-8.13,0,0.0725,0.0505,0.0,0.445,0.274,124.915,147579
3qPLOJ6ij8dcO94ntWUzan,0.822,0.494,11,-8.212,0,0.0822,0.153,0.0,0.114,0.537,122.022,212937
7fI7sjuVLkLVPO9oYjdgxg,0.517,0.59,1,-7.904,0,0.122,0.278,0.0,0.304,0.269,123.928,187742
6eI8B3QW20P68MCYMb4Etd,0.665,0.719,1,-6.897,1,0.0328,0.384,0.0,0.118,0.491,112.473,162224
5huHKpaQvhWJ4DTLndEjKr,0.708,0.804,4,-6.051,0,0.0283,0.0174,0.00254,0.0833,0.644,137.982,340190
4TdFG3xGLJwNCiLuoamnDn,0.615,0.64,0,-6.607,1,0.04,0.189,0.0153,0.102,0.681,87.999,247225
5qf8lBMF49mfNILgF1TYTG,0.863,0.804,10,-4.346,0,0.0583,0.115,6.56e-05,0.235,0.725,103.042,147813
659U6YFHPlLckw6uzgywpW,0.819,0.84,0,-3.52,1,0.128,0.065,9.22e-05,0.104,0.695,111.034,186507
70iFZwMfjDJBlObBLWFywd,0.797,0.808,1,-4.016,0,0.112,0.257,0.00385,0.0943,0.551,102.053,134333
4l4AiTqEyjCAJui6xVREH7,0.747,0.882,5,-2.649,0,0.0422,0.0501,3.06e-05,0.0926,0.692,93.003,200507
6end0etAvMxWeSGwCwk1gR,0.808,0.552,6,-10.1,0,0.0622,0.253,8.14e-06,0.105,0.827,94.971,126632
46x078it8K6GmdClq9jcYe,0.753,0.733,0,-3.715,1,0.056,0.253,0.0,0.398,0.156,92.064,147599
3dEI6HHilrFuNs6q1fvJ9q,0.615,0.312,11,-22.684,1,0.406,0.0372,0.00515,0.375,0.0781,61.503,46205
7tIJeiKKY1DZ1xwwt9KVkt,0.462,0.000949,3,-25.614,1,0.115,0.931,0.365,0.102,0.411,165.51,155624
74BfFG9qR85KXxN49esFVA,0.493,0.302,5,-12.478,1,0.0289,0.0404,0.834,0.107,0.157,107.425,150667
4XGl23ZBBQQ7KD9uSpvswx,0.553,0.887,3,-6.463,0,0.0387,0.0697,0.0,0.186,0.687,156.767,215573
1O5HGqTyQwb0N87beG7mLC,0.569,0.189,9,-13.386,0,0.438,0.691,1e-05,0.359,0.265,145.402,101400
